city,year,n_events,floor_area_m2,embodied_mean_tCO2e,embodied_p05_tCO2e,embodied_p50_tCO2e,embodied_p95_tCO2e,embodied_GT_tCO2e,audit_residual_pct
Beijing,2000,725,6520938.243385726,3446101.4217694607,3375118.174640806,3445310.326180899,3520929.363296102,3527910.9591197567,-2.3189229631438377
Beijing,2001,553,5211284.075434921,2755021.9977088487,2687206.060312656,2754709.4704844635,2825753.552769257,2812986.0788105545,-2.060588978322117
Beijing,2002,820,8027608.200718342,4242290.966939146,4160350.125777293,4242571.213889136,4325915.085180168,4303290.321313321,-1.4175049745553439
Beijing,2003,1076,9812251.936710022,5185510.728206817,5079993.759816859,5181780.374362277,5301326.802825059,5233397.413063186,-0.9150209907017239
Beijing,2004,742,7175912.184150729,3793352.8393391017,3709193.185720637,3792284.1555625047,3875997.148970378,3834790.6166482996,-1.0805747028090822
Beijing,2005,874,8480165.72899009,4478765.378816524,4392879.490593325,4479787.04803294,4562953.60694131,4627683.403840515,-3.2179821311977426
Beijing,2006,964,9369273.305210374,4952179.261519679,4853747.10093958,4950125.951045618,5060809.3842976,4958074.822763016,-0.11890827496734153
Beijing,2007,1235,12023140.027888708,6356232.321393562,6251704.822254488,6355083.950087145,6465363.986134109,6510461.002489605,-2.3689364092199656
Beijing,2008,1797,17180824.13131106,9080856.638863496,8957169.42355415,9082289.511248313,9202038.295085348,9236115.695301883,-1.680999475974102
Beijing,2009,1284,12418883.635150779,6563473.58419817,6456545.598890041,6565066.274250851,6674918.591144989,6667473.754439979,-1.559813717640105
Beijing,2010,1701,16632055.464796795,8792080.380477967,8667547.34123828,8793380.71654415,8917525.549313677,8972205.213444363,-2.0075870834573566
Beijing,2011,1536,14050649.637340127,7425978.200706395,7316863.997656782,7424097.922971678,7539257.760221487,7460060.671989241,-0.45686587256343586
Beijing,2012,1279,12300304.763276303,6498495.549743364,6386954.8351833355,6498899.542109764,6608493.151017746,6686762.692571106,-2.8155200279038572
Beijing,2013,1952,18698569.03047959,9883226.01598708,9754755.383191898,9883766.98960067,10012654.436659848,10021114.817646472,-1.3759826543108737
Beijing,2014,1239,12092185.04478748,6390957.834543359,6280476.83888525,6391825.437408735,6501826.661771613,6431394.290084284,-0.6287354454891514
Beijing,2015,799,7936062.706031511,4194258.7409142572,4110199.6651180377,4193194.273784299,4280161.773181221,4292666.513998324,-2.292462569900561
Beijing,2016,956,8926302.511739993,4716684.949858877,4621466.842298684,4713564.836869125,4815245.864613351,4863503.094192778,-3.0187735360795345
Beijing,2017,724,6820022.439207413,3605029.9619254004,3523018.349872108,3604375.7122139563,3695457.090443345,3692813.1332139065,-2.377135482404094
Beijing,2018,764,7282104.258034607,3849036.799460572,3768684.281263038,3847535.148207941,3929567.460433336,3874146.111564886,-0.6481250675951201
Beijing,2019,805,8587623.216044653,4538419.575245194,4448194.373078803,4538804.571560558,4627736.507203469,4634740.480982351,-2.078237306541517
Beijing,2020,795,7574071.655992668,4002731.0958746336,3924298.2838074192,4002458.81618867,4085157.7168900496,4011384.1621990637,-0.21571273093141974
Beijing,2021,666,6295898.460917044,3328355.3666306455,3251947.209026201,3329070.481658213,3403988.6032137023,3445685.767485857,-3.405139318343054
Beijing,2022,546,5343215.379775593,2825353.3406599816,2760281.821166849,2823950.083351902,2891999.8421846363,2844285.093852766,-0.6656067365996703
Beijing,2023,504,5418305.424458413,2863893.888548679,2796158.222467324,2863646.465634329,2934045.5652656164,2934089.310102748,-2.3924091646552803
Beijing,2024,663,6618982.659970196,3498856.8154720264,3421274.4924762133,3497827.972011082,3579379.3048255057,3613734.2542520883,-3.1789121915893994
Hohhot,2000,135,1354193.2903667302,704599.2162890638,670242.1951197216,704063.6124108074,742384.5576444137,720880.9342529139,-2.2585862921626174
Hohhot,2001,138,1220107.7425931063,634687.9199042822,607358.299644602,634216.1612854511,665986.1660774092,655474.3915081017,-3.171210328445394
Hohhot,2002,170,1462736.1172872963,760926.9120314148,729086.7232057966,760743.183036536,796964.2463281914,755076.8211766246,0.7747676383012355
Hohhot,2003,149,1517858.7916738768,790324.5401847321,759377.9030642401,790264.1668384392,823584.8361248217,786228.9577544323,0.5209147271803894
Hohhot,2004,284,2518301.8784872806,1310440.2730406737,1262650.0205584883,1310075.7318762187,1360881.137813346,1359949.9922005092,-3.6405543912482217
Hohhot,2005,267,2424921.733135532,1261183.876019912,1214083.2210301403,1260213.9436896734,1311431.297647171,1306185.087849886,-3.4452400543058137
Hohhot,2006,172,1701024.9003346742,885110.9424979512,847753.6027666515,884542.7163587396,924408.6115504592,862330.1487193613,2.641771694103642
Hohhot,2007,294,2549985.742732987,1326014.6695760728,1283818.547121621,1325383.0429492278,1368783.8145635333,1331836.3965132432,-0.4371202763651522
Hohhot,2008,241,2505302.5142668798,1302905.8642632372,1252988.2544067793,1302041.9925194806,1357361.4146400383,1312908.9198907185,-0.7619001955073874
Hohhot,2009,322,2865083.1219483726,1489184.6962847416,1437068.7232625822,1489003.4905077077,1541919.5695498628,1494893.8123571305,-0.38190780008559716
Hohhot,2010,287,2594644.0975626186,1350456.1185589659,1305651.1231255867,1349674.4708629407,1399538.6136834098,1393575.885553043,-3.094181482407403
Hohhot,2011,312,3048216.118392344,1585873.8046065632,1540489.964441361,1585462.2624396917,1631603.9207075078,1607597.688324091,-1.3513258867754927
